Nova,"Discovered by / at: Jiho Choi, 27-08-2014",https://jc11452.github.io/cclab-f24/projecta/
STROKES,"Discovered by / at: Humans, 2099",https://evernerdy.github.io/CCLab/project-a/
EVO Slime,"Discovered by / at: Haotong Wu, 2077.3, Plain Ranch",https://htwu123.github.io/CCLAB-ProjectA/
Luminous Sea Snake,"Discovered by / at: Unknown",https://wl3223.github.io/cclab/projectA/ 
PRISMA,"Discovered by / at: Itself, at the beginning",https://clavana.github.io/CCLab/project-a-draft/
THE CABOODLE,"Discovered by / at: Joint effort of UN, Year 5813479",https://chickensaurus.github.io/cclab/projectAFinal/index.html
Everolving Star,"Discovered by / at: Dr. Degelenovna at 04:29am in 2???",https://yerke19.github.io/CCLAB/project-a/
Mind: Universe,"Discovered by / at: Everyone who wants to figure out what happens in their mind.",https://arieljiang1.github.io/CCLab/project-a/
